uuid,short_id,hypothesis,categories,paper,questions,data_folder
33b801bb-9b47-4a0a-9314-05325c82fde7,bix-1,"Truncating ASXL1 mutations will lead to specific gene expression changes in blood that reflect alterations in hematological processes, such as T cell and neutrophil activation.","['RNA-seq', 'Differential Expression Analysis', 'Transcriptomics', 'Network Biology']",https://doi.org/10.1172/jci.insight.167744,"[{""question"": ""What is the adjusted p-val threshold for T-cell activation related processes found in the GO enrichment?"", ""options"": [""p-adj < 0.01 for any immune process"", ""log2FoldChange > 1.5 for T cell genes"", ""raw p-value < 0.05 for T cell terms"", ""p-adj < 0.05 for T cell activation terms""]}, {""question"": ""How many GO terms related to immune processes must show p-adj < 0.05 to establish significant enrichment of immune pathways in the dataset?"", ""options"": [""At least 10 terms"", ""At least 50% of all immune-related terms"", ""At least 1 term"", ""All immune-related terms""]}, {""question"": ""What variable must be included in the DESeq2 design formula to properly analyze the effect of ASXL1 mutations in a mixed-gender cohort?"", ""options"": [""batch number"", ""sex"", ""age"", ""sample name""]}, {""question"": ""What clinical feature or criterion should be used as an exclusion factor for patients recruited in the study"", ""options"": [""Age of the patient"", ""Presence of confounding medical conditions"", ""Genetic background"", ""Low sequencing depth""]}, {""question"": ""What is the adjusted p-value for neutrophil activation in the gene ontology analysis?"", ""options"": [""4.56E-4"", ""1.90E-5"", ""2.15E-6"", ""3.23E-8""]}]",CapsuleFolder-33b801bb-9b47-4a0a-9314-05325c82fde7.zip
30b33e47-92d8-4372-a9f6-da32896493d0,bix-2,"Bloom Syndrome (BSyn) probands and BLM mutation carriers will have a higher mean proportion of low-frequency, somatic CHIP gene variants (VAF < 0.3) compared to control cohorts, given that mutations in the BLM gene are known to cause increased genomic instability.","['Genomics', 'Genomic Variant Analysis']",doi.org/10.3324/haematol.2024.285239,"[{""question"": ""What is the proportion of likely somatic variants (VAF < 0.3) in BLM carriers relative to the total number of CHIP variants identified in this group?"", ""options"": [""0.45"", ""0.15"", ""0.25"", ""0.05""]}, {""question"": ""What is the percentage of CHIP variants with VAF between 0.3 and 0.7 in the Control Children cohort?"", ""options"": [""65%"", ""55%"", ""75%"", ""45%""]}, {""question"": ""What proportion of CHIP variants fall into the exonic regions of the genome?"", ""options"": [""38.2%"", ""45.5%"", ""52.3%"", ""58.7%""]}, {""question"": ""What is the average number of CHIP variants per sample that pass all quality filters (DP>10, GQ>20, PASS) in the exonic regions?"", ""options"": [""35"", ""89"", ""71"", ""53""]}]",CapsuleFolder-30b33e47-92d8-4372-a9f6-da32896493d0.zip
94bcdbc9-c729-4661-9bc1-0057bbea39c4,bix-3,Antidepressant Paroxetine has negligible effects on gene expression in control (non-depressed) mice,"['Differential Expression Analysis', 'Transcriptomics', 'RNA-seq']",https://zenodo.org/records/4287588,"[{""question"": ""What's the number of genes that are differentially regulated, when comparing final vs baseline blood?"", ""options"": [""<1000"", ""10000"", ""5000"", "">15000""]}, {""question"": ""What is the 95% confidence interval for the proportion of differentially expressed genes in the final vs baseline blood comparison?"", ""options"": [""(0.0281, 0.0323)"", ""(0.4563, 0.4685)"", ""(0.0312, 0.0356)"", ""(0.4530, 0.4653)""]}, {""question"": ""How many genes show differential expression uniquely in the dentate gyrus vs baseline blood comparison after excluding genes shared with other comparisons?"", ""options"": [""766"", ""11663"", ""429"", ""846""]}, {""question"": ""How many genes show consistent differential expression across all three tissue comparisons (final vs baseline blood, dentate gyrus vs baseline blood, and dentate gyrus vs final blood)?"", ""options"": [""10316"", ""429"", ""773"", ""11746""]}, {""question"": ""In a differential expression analysis comparing treatment effects in blood samples, what proportion of genes would need to show significant changes (padj < 0.05, |log2FC| > 1) to reject the hypothesis of negligible treatment effects?"", ""options"": [""Any number of significantly changed genes"", ""More than 10% of total genes"", ""More than 1% of total genes"", ""More than 5% of total genes""]}]",CapsuleFolder-94bcdbc9-c729-4661-9bc1-0057bbea39c4.zip
ec9eb551-feee-48f6-8494-fd85e1521881,bix-4,Fungi have a more clock-like pattern of evolution compared to animals.,"['Whole Genome Sequencing (WGS)', 'Genomics', 'Phylogenetics and Evolutionary Analysis']",Not Available,"[{""question"": ""What percentage of fungal genes in the dataset exhibit DVMC values below 0.3, indicating strong clock-like evolution?"", ""options"": [""45%"", ""57%"", ""28%"", ""79%""]}, {""question"": ""What is the mean DVMC value for genes within the animal dataset?"", ""options"": [""0.57"", ""0.82"", ""0.65"", ""0.31""]}, {""question"": ""What is the Mann Whitney U value between fungi and animal DVMC values?"", ""options"": [""19808"", ""9340"", ""18356"", ""16032""]}, {""question"": ""What is the standard deviation of DVMC values among genes in the animal dataset?"", ""options"": [""0.56"", ""0.30"", ""0.28"", ""0.15""]}, {""question"": ""What is the median DVMC value for fungal genes?"", ""options"": [""0.35"", ""0.27"", ""0.65"", ""0.52""]}, {""question"": ""What is the highest DVMC value observed among animal genes?"", ""options"": [""1.58"", ""1.22"", ""0.95"", ""1.05""]}, {""question"": ""What is the DVMC value for the orthologous gene 324863at2759 in fungi?"", ""options"": [""0.99"", ""0.67"", ""0.45"", ""0.32""]}]",CapsuleFolder-ec9eb551-feee-48f6-8494-fd85e1521881.zip
2a8a40d4-05b0-4eec-8bd2-825f61fc9f5d,bix-5,"Truncating ASXL1 mutations that cause Bohring-Opitz syndrome (BOS) will cause specific transcriptional changes that are tissue-specific, such as processes related to cellular structure in patient-derived fibroblast cell culture.","['RNA-seq', 'Differential Expression Analysis', 'Transcriptomics', 'Network Biology']",https://doi.org/10.1172/jci.insight.167744,"[{""question"": ""Which is statistically the most enriched GO process in BOS-patient fibroblasts?"", ""options"": [""Dendrite self-avoidance"", ""Potassium ion transmembrane transport"", ""Muscle contraction"", ""Axon guidance""]}, {""question"": ""What is the lowest adjusted p-value threshold of membrane potential regulation processes resulting from the enrichment?"", ""options"": [""0.02"", ""0.04"", ""0.03"", ""0.01""]}, {""question"": ""How many independent ion transport-related processes are significantly enriched in the GO analysis results?"", ""options"": [""4"", ""2"", ""3"", ""1""]}, {""question"": ""What impact would reducing the GO term similarity cutoff from 0.7 to 0.5 in the simplification step have on the number of significant membrane-related processes?"", ""options"": [""Decrease the number of significant terms"", ""Increase the number of significant terms"", ""Remove all membrane-related terms"", ""No change in the number of terms""]}, {""question"": ""Which is the most enriched process in the ASXL1-mutated fibroblasts?"", ""options"": [""Potassium ion transmembrane transport"", ""Dendrite self-avoidance"", ""Axon guidance"", ""Muscle contraction""]}, {""question"": ""For a given set of differentially expressed genes in fibroblasts, what is the adjusted p-value threshold used to determine significant GO term enrichment?"", ""options"": [""0.05"", ""0.001"", ""0.02"", ""0.01""]}, {""question"": ""What similarity cutoff value is used to reduce redundancy in the GO term analysis?"", ""options"": [""0.7"", ""0.5"", ""0.6"", ""0.8""]}]",CapsuleFolder-2a8a40d4-05b0-4eec-8bd2-825f61fc9f5d.zip
f4dcda89-678d-403d-b155-1483d0071765,bix-6,"Immune-relevant pathways will be enriched within the set of genes that, when perturbed, enable cancer cells to evade T cell-mediated cytotoxicity.",['Functional Genomics'],https://www.nature.com/articles/s41467-022-29205-8#Abs1,"[{""question"": ""Based on the pathway enrichment analysis of T cell evasion genes, at what timepoint does immune pathway regulation show the strongest evidence of selective pressure?"", ""options"": [""During chronic round 3 (day 9)"", ""During chronic round 1 (day 3)"", ""During chronic round 2 (day 6)"", ""During acute (18-hour) exposure""]}, {""question"": ""What is the adjusted p-value threshold required to identify significant pathway enrichment in the acute T cell exposure analysis?"", ""options"": [""0.05"", ""0.01"", ""No pathways meet any significance threshold"", ""0.001""]}, {""question"": ""How many pathways maintain significant enrichment (adjusted p-value < 0.05) across all three rounds of chronic T cell exposure?"", ""options"": [""0 pathways"", ""1 pathway"", ""4 pathways"", ""2 pathways""]}, {""question"": ""What is the Spearman correlation coefficient between replicates for genes identified in chronic round 1 of T cell exposure?"", ""options"": [""0.013"", ""0.021"", ""0.020"", ""0.014""]}, {""question"": ""What proportion of screening conditions showed significant enrichment of immune-relevant pathways in genes associated with T cell evasion?"", ""options"": [""2/4 conditions"", ""1/4 conditions"", ""0/4 conditions"", ""3/4 conditions""]}, {""question"": ""What correlation value is observed between replicates in the acute T cell screen?"", ""options"": [""0.021"", ""0.047"", ""0.014"", ""0.198""]}, {""question"": ""In chronic screen round 2, what is the odds ratio for the most significantly enriched pathway?"", ""options"": [""6.17"", ""7.43"", ""1.29"", ""9.41""]}]",CapsuleFolder-f4dcda89-678d-403d-b155-1483d0071765.zip
a02b761a-02b6-46b5-9d5e-2964d5a74960,bix-7,"Bloom Syndrome (BSyn) probands and BLM mutation carriers will have similar levels of germline mutations to controls, but will acquire more DNA mutations, resulting in a higher number of somatic variants, given that Bloom Syndrome is characterized by increased genomic instability. ","['Genomics', 'Genomic Variant Analysis']",https://doi.org/10.3324/haematol.2024.285239,"[{""question"": ""What is the relationship between BLM mutation status and CHIP variant frequency in the analyzed exome sequencing data?"", ""options"": [""Control parents show significantly lower CHIP variant frequencies than other groups"", ""BSyn probands show significantly higher CHIP variant frequencies than controls"", ""BLM carriers show intermediate CHIP variant frequencies between BSyn probands and controls"", ""CHIP variant frequencies show no statistically significant differences between groups""]}, {""question"": ""What is the average number of CHIP variants per sample after filtering out intronic, intergenic, and UTR variants?"", ""options"": [""100-150 variants"", ""25-35 variants"", ""200-250 variants"", ""40-60 variants""]}, {""question"": ""How many CHIP variants remain after removing reference calls from the dataset?"", ""options"": [""40k-50k"", ""50-60k"", ""15k-25k"", ""10k-20k""]}, {""question"": ""How many distinct sample groups are represented in the final CHIP variant analysis after proper classification of control samples?"", ""options"": [""3 groups"", ""2 groups"", ""5 groups"", ""4 groups""]}]",CapsuleFolder-a02b761a-02b6-46b5-9d5e-2964d5a74960.zip
48a6b469-9c9d-4bef-b5b4-f29b7d6fa046,bix-8,mRNA m6A methylation plays a significant role in the development of human bladder cancer,"['Epigenomics', 'Differential Expression Analysis', 'RNA-seq']",10.17632/dj4sb8h3c3.1,"[{""question"": ""What proportion of hypermethylated genes (m6A Hyper) in the dataset show increased expression (Up) in bladder cancer?"", ""options"": [""0.082 (8.2%)"", ""0.327 (32.7%)"", ""0.156 (15.6%)"", ""0.234 (23.4%)""]}, {""question"": ""What is the chi-square statistic for the independence test between m6A methylation status and differential expression status in the dataset?"", ""options"": [""433.2"", ""901.45"", ""562.3"", ""119.8""]}, {""question"": ""What is the ratio of hypermethylated to hypomethylated genes among all differentially methylated genes in the dataset?"", ""options"": [""1.85"", ""2.15"", ""1.33"", ""0.75""]}, {""question"": ""For genes with significant differential methylation, what is the odds ratio of finding upregulated versus downregulated genes in hypermethylated compared to hypomethylated genes?"", ""options"": [""8.8"", ""12.5"", ""4.2"", ""74.3""]}, {""question"": ""What is the p-value of the statistical test examining the independence between m6A methylation status and differential expression in bladder cancer?"", ""options"": [""p < 2.2e-16"", ""p > 0.05"", ""p = 0.001"", ""p = 0.0338""]}, {""question"": ""How many genes show significant hypermethylation in bladder cancer samples?"", ""options"": [""680"", ""415"", ""511"", ""11563""]}]",CapsuleFolder-48a6b469-9c9d-4bef-b5b4-f29b7d6fa046.zip
873bada5-b1f3-423a-87dc-9ddd486c4843,bix-9,Paroxetine induces tissue-specific gene expression changes in depressed mice,"['Differential Expression Analysis', 'Transcriptomics', 'RNA-seq']",https://zenodo.org/records/4287588,"[{""question"": ""By performing a two-way ANOVA analysis on the gene expression data, what is the statistical strength (F-statistic and p-value) of the interaction between tissue type and treatment response?"", ""options"": [""F = 10.09 (p < 0.0001)"", ""F = 3.24 (p > 0.05)"", ""F = 33.90 (p < 0.0001)"", ""F = 1.07 (p > 0.05)""]}, {""question"": ""How many differentially expressed genes are shared between brain tissue and blood samples in bad responders versus controls?"", ""options"": [""156 genes"", ""2 genes"", ""312 genes"", ""47 genes""]}, {""question"": ""In the dentate gyrus, what is the pattern of overlap in differentially expressed genes between good responders, bad responders, and controls?"", ""options"": [""Complete overlap between all groups"", ""Complete overlap between good responders and controls only"", ""No overlap between any groups"", ""Partial overlap between good and bad responders only""]}, {""question"": ""What is the statistical significance level (p-value) of the Category effect in the one-way ANOVA testing for tissue-response interactions? (\""Category\"" here means the concatenation of \""Tissue\"" and \""Response\"")"", ""options"": [""p = 1.07e-16"", ""p = 3.39e-12"", ""p = 9.92e-35"", ""p = 4.26e-6""]}, {""question"": ""In which tissue type do bad responders show the highest number of significant (p < 0.05) differentially expressed genes compared to controls?"", ""options"": [""Dentate gyrus (brain)"", ""Equal numbers across all tissues"", ""Final blood"", ""Baseline blood""]}]",CapsuleFolder-873bada5-b1f3-423a-87dc-9ddd486c4843.zip
fbe0e950-76f2-4eb7-a216-a2d377970922,bix-10,Tubercolosis BCG re-vaccination reduces COVID-19 disease severity among healthcare workers,['Other'],https://zenodo.org/records/12737228,"[{""question"": ""What is the effect of BCG vaccination on COVID-19 severity when controlling for patient interaction frequency in healthcare workers?"", ""options"": [""Increases severity odds by 24.5%"", ""Decreases severity odds by 52.4%"", ""Increases severity odds by 52.4%"", ""No significant effect on severity""]}, {""question"": ""What is the relationship between healthcare workers' expected patient interaction and COVID-19 severity?"", ""options"": [""Expected interaction has no significant effect on severity"", ""Expected interaction increases severity odds by 24.5%"", ""Expected interaction reduces severity odds by 75.5%"", ""Expected interaction reduces severity odds by 24.5%""]}, {""question"": ""How does the distribution of COVID-19 severity differ among healthcare workers seeing different numbers of patients?"", ""options"": [""Significant difference only in the 1-50 patients group"", ""Significant difference only in the >100 patients group"", ""No significant differences in any patient number group"", ""Significant differences across all patient number groups""]}, {""question"": ""Using a chi-square test, what is the p-value for the association between BCG vaccination and COVID-19 severity among healthcare workers who expect to interact with patients?"", ""options"": [""0.025"", ""0.124"", ""0.048"", ""0.367""]}, {""question"": ""What is the effect of BCG re-vaccination on COVID-19 severity odds among healthcare workers who interact with patients?"", ""options"": [""Decreases severity odds by 34.4%"", ""Has no significant effect on severity odds"", ""Increases severity odds by 34.4%"", ""Decreases severity odds by 24.5%""]}, {""question"": ""For healthcare workers seeing 1-50 patients, what is the statistical significance (p-value) of the association between vaccination status and disease severity?"", ""options"": [""p = 0.052"", ""p = 0.024"", ""p = 0.444"", ""p = 0.327""]}, {""question"": ""How do the odds of higher COVID-19 severity compare between healthcare workers who expect to interact with patients versus those who do not?"", ""options"": [""34.4% lower odds"", ""24.5% lower odds"", ""24.5% higher odds"", ""34.4% higher odds""]}]",CapsuleFolder-fbe0e950-76f2-4eb7-a216-a2d377970922.zip
